island,site full name,Site ,t,temp
Santiago,Bartolome,Bart,3/31/18 0:00,24.81
Santiago,Bartolome,Bart,4/1/18 0:00,23.763
Santiago,Bartolome,Bart,4/2/18 0:00,23.978
Santiago,Bartolome,Bart,4/3/18 0:00,22.885
Santiago,Bartolome,Bart,4/4/18 0:00,23.07
Santiago,Bartolome,Bart,4/5/18 0:00,22.556
Santiago,Bartolome,Bart,4/6/18 0:00,23.691
Santiago,Bartolome,Bart,4/7/18 0:00,24.753
Santiago,Bartolome,Bart,4/8/18 0:00,25.238
Santiago,Bartolome,Bart,4/9/18 0:00,25.571
Santiago,Bartolome,Bart,4/10/18 0:00,25.276
Santiago,Bartolome,Bart,4/11/18 0:00,25.245
Santiago,Bartolome,Bart,4/12/18 0:00,25.06
Santiago,Bartolome,Bart,4/13/18 0:00,24.852
Santiago,Bartolome,Bart,4/14/18 0:00,24.698
Santiago,Bartolome,Bart,4/15/18 0:00,24.186
Santiago,Bartolome,Bart,4/16/18 0:00,23.866
Santiago,Bartolome,Bart,4/17/18 0:00,23.639
Santiago,Bartolome,Bart,4/18/18 0:00,23.29
Santiago,Bartolome,Bart,4/19/18 0:00,22.795
Santiago,Bartolome,Bart,4/20/18 0:00,22.09
Santiago,Bartolome,Bart,4/21/18 0:00,21.994
Santiago,Bartolome,Bart,4/22/18 0:00,22.233
Santiago,Bartolome,Bart,4/23/18 0:00,24.01
Santiago,Bartolome,Bart,4/24/18 0:00,24.376
Santiago,Bartolome,Bart,4/25/18 0:00,23.88
Santiago,Bartolome,Bart,4/26/18 0:00,24.329
Santiago,Bartolome,Bart,4/27/18 0:00,24.653
Santiago,Bartolome,Bart,4/28/18 0:00,24.416
Santiago,Bartolome,Bart,4/29/18 0:00,24.09
Santiago,Bartolome,Bart,4/30/18 0:00,24.305
Santiago,Bartolome,Bart,5/1/18 0:00,24.835
Santiago,Bartolome,Bart,5/2/18 0:00,24.711
Santiago,Bartolome,Bart,5/3/18 0:00,24.424
Santiago,Bartolome,Bart,5/4/18 0:00,24.335
Santiago,Bartolome,Bart,5/5/18 0:00,24.279
Santiago,Bartolome,Bart,5/6/18 0:00,24.155
Santiago,Bartolome,Bart,5/7/18 0:00,24.675
Santiago,Bartolome,Bart,5/8/18 0:00,24.613
Santiago,Bartolome,Bart,5/9/18 0:00,24.988
Santiago,Bartolome,Bart,5/10/18 0:00,24.995
Santiago,Bartolome,Bart,5/11/18 0:00,24.793
Santiago,Bartolome,Bart,5/12/18 0:00,22.902
Santiago,Bartolome,Bart,5/13/18 0:00,21.92
Santiago,Bartolome,Bart,5/14/18 0:00,21.629
Santiago,Bartolome,Bart,5/15/18 0:00,21.625
Santiago,Bartolome,Bart,5/16/18 0:00,20.873
Santiago,Bartolome,Bart,5/17/18 0:00,21.904
Santiago,Bartolome,Bart,5/18/18 0:00,21.861
Santiago,Bartolome,Bart,5/19/18 0:00,22.388
Santiago,Bartolome,Bart,5/20/18 0:00,22.903
Santiago,Bartolome,Bart,5/21/18 0:00,23.332
Santiago,Bartolome,Bart,5/22/18 0:00,23.261
Santiago,Bartolome,Bart,5/23/18 0:00,23.575
Santiago,Bartolome,Bart,5/24/18 0:00,23.521
Santiago,Bartolome,Bart,5/25/18 0:00,23.764
Santiago,Bartolome,Bart,5/26/18 0:00,23.878
Santiago,Bartolome,Bart,5/27/18 0:00,23.816
Santiago,Bartolome,Bart,5/28/18 0:00,23.809
Santiago,Bartolome,Bart,5/29/18 0:00,23.843
Santiago,Bartolome,Bart,5/30/18 0:00,23.764
Santiago,Bartolome,Bart,5/31/18 0:00,23.649
Santiago,Bartolome,Bart,6/1/18 0:00,23.458
Santiago,Bartolome,Bart,6/2/18 0:00,23.73
Santiago,Bartolome,Bart,6/3/18 0:00,23.661
Santiago,Bartolome,Bart,6/4/18 0:00,23.549
Santiago,Bartolome,Bart,6/5/18 0:00,22.989
Santiago,Bartolome,Bart,6/6/18 0:00,23.107
Santiago,Bartolome,Bart,6/7/18 0:00,22.959
Santiago,Bartolome,Bart,6/8/18 0:00,23.091
Santiago,Bartolome,Bart,6/9/18 0:00,23.147
Santiago,Bartolome,Bart,6/10/18 0:00,22.848
Santiago,Bartolome,Bart,6/11/18 0:00,23.008
Santiago,Bartolome,Bart,6/12/18 0:00,22.991
Santiago,Bartolome,Bart,6/13/18 0:00,23.042
Santiago,Bartolome,Bart,6/14/18 0:00,22.93
Santiago,Bartolome,Bart,6/15/18 0:00,22.644
Santiago,Bartolome,Bart,6/16/18 0:00,22.231
Santiago,Bartolome,Bart,6/17/18 0:00,21.746
Santiago,Bartolome,Bart,6/18/18 0:00,21.439
Santiago,Bartolome,Bart,6/19/18 0:00,21.376
Santiago,Bartolome,Bart,6/20/18 0:00,20.925
Santiago,Bartolome,Bart,6/21/18 0:00,21.182
Santiago,Bartolome,Bart,6/22/18 0:00,21.373
Santiago,Bartolome,Bart,6/23/18 0:00,21.859
Santiago,Bartolome,Bart,6/24/18 0:00,22.278
Santiago,Bartolome,Bart,6/25/18 0:00,22.247
